Filename	word	vowel	F1	F2	F3	Duration	Timepoint	VowelPercent	MeasType
01_stem	Unlabeled	a	486	784	1350	251	1	0	verify
01_stem	Unlabeled	a	289	865	1364	251	2	9.09	verify
01_stem	Unlabeled	a	897.6188059257464	1383.0638810915245	2088.6845225327397	251	3	18.18	auto
01_stem	Unlabeled	a	909.4415704445349	1433.329239109908	2777.945345044741	251	4	27.27	auto
01_stem	Unlabeled	a	893.0016755669012	1382.4429717903881	2072.150301131856	251	5	36.36	auto
01_stem	Unlabeled	a	881.6910490504149	1424.4566693060203	1919.9969865765574	251	6	45.45	auto
01_stem	Unlabeled	a	898.5990330614001	1392.9752704950313	1748.939251541717	251	7	54.55	auto
01_stem	Unlabeled	a	871.7863603835677	1406.670537532428	1688.321114862242	251	8	63.64	auto
01_stem	Unlabeled	a	881.3680204707879	1322.0214115940291	1902.7433121904162	251	9	72.73	auto
01_stem	Unlabeled	a	849.3752502199673	1408.2218703310512	1820.7160590036613	251	10	81.82	auto
01_stem	Unlabeled	a	871.806304927179	1499.9926559827752	1853.4192701551465	251	11	90.91	auto
01_stem	Unlabeled	a	1004.5725175264165	1473.5938362773213	2556.491241093714	251	12	100.00	auto
02_crawl	Unlabeled	a	327.12253141816905	987.8044088838967	1523.5377381925314	202	1	0	auto
02_crawl	Unlabeled	a	845.4874456005308	1119.1452322536302	1433.848755198572	202	2	9.09	auto
02_crawl	Unlabeled	a	871.7686580752071	1060.8683590539727	1284.6655123274816	202	3	18.18	auto
02_crawl	Unlabeled	a	843.8961889631256	933.3334113072367	1348.7221303609292	202	4	27.27	auto
02_crawl	Unlabeled	a	809.8475109256319	1003.0446013728748	1368.8527811153776	202	5	36.36	auto
02_crawl	Unlabeled	a	891.5831642650143	1356.826727813559	1466.2081172190608	202	6	45.45	auto
02_crawl	Unlabeled	a	900.5741259971319	1350.7595030577463	1522.6939910733947	202	7	54.55	auto
02_crawl	Unlabeled	a	883.1506052389166	1318.1074697322679	1734.601162643796	202	8	63.64	auto
02_crawl	Unlabeled	a	909.0956767880763	1384.291312814173	1438.2871017894547	202	9	72.73	auto
02_crawl	Unlabeled	a	927.3243365767123	977.6819977834505	1465.8840932970857	202	10	81.82	auto
02_crawl	Unlabeled	a	370.9543494775486	1073.233092982607	1417.0558668620508	202	11	90.91	auto
02_crawl	Unlabeled	a	676.9827184026743	993.810101154415	1446.254227885111	202	12	100.00	auto
03_hemp	Unlabeled	a	493.4660594608284	959.0188829983015	1961.3104748261633	284	1	0	auto
03_hemp	Unlabeled	a	791.1638906364032	1002.9863557290922	1170.0591148854833	284	2	9.09	auto
